Source,Target,Weight
childishgambino,blm,41
gone,blm,41
marijuana,blm,41
responsible,blm,41
store,blm,41
boomers,blm,41
talks,blm,41
weekend,blm,41
blackish,blm,41
modern,blm,41
reports,blm,41
able,blm,41
racialprofiling,blm,41
forgotten,blm,41
whatever,blm,41
along,blm,41
blackpanthe,blm,41
genx,blm,41
claims,blm,41
delille,blm,41
feminists,blm,41
40,blm,41
problems,blm,41
umn,blm,40
record,blm,40
union,blm,40
voting,blm,40
step,blm,40
wanna,blm,40
decision,blm,40
major,blm,40
apology,blm,40
huge,blm,40
project,blm,40
russia,blm,40
blackbusiness,blm,40
founder,blm,40
gotv,blm,40
los,blm,40
sit,blm,40
center,blm,40
met,blm,40
feeling,blm,40
votes,blm,40
ude21,blm,40
search,blm,40
soon,blm,40
moving,blm,40
jones,blm,40
door,blm,40
eyes,blm,40
policeweek,blm,40
creature,blm,40
laws,blm,40
air,blm,40
acab,blm,40
pretty,blm,40
felt,blm,40
mayor,blm,40
track,blm,40
lee,blm,40
describe,blm,40
everybody,blm,40
stillwithher,blm,39
wife,blm,39
healthcare,blm,39
oppressed,blm,39
libcrib,blm,39
halloween,blm,39
cats,blm,39
dying,blm,39
robinson,blm,39
among,blm,39
ms,blm,39
computing,blm,39
link,blm,39
petition,blm,39
afraid,blm,39
ali,blm,39
red,blm,39
possible,blm,39
johnson,blm,39
transgender,blm,39
conservative,blm,39
kneeling,blm,39
duty,blm,39
domestic,blm,39
apologize,blm,39
near,blm,39
rather,blm,39
sizes,blm,39
por,blm,39
what’s,blm,39
native,blm,39
fit,blm,39
yo,blm,39
sessions,blm,39
se,blm,39
losangeles,blm,38
opinion,blm,38
interesting,blm,38
targeted,blm,38
shop,blm,38
traitor,blm,38
necessary,blm,38
wave,blm,38
whether,blm,38
science,blm,38
flint,blm,38
blood,blm,38
anthony,blm,38
present,blm,38
poverty,blm,38
anthonywall,blm,38
ugly,blm,38
water,blm,38
colour,blm,38
aclu,blm,38
asleep,blm,38
melanin,blm,38
bless,blm,38
recognize,blm,38
id,blm,38
charge,blm,38
racialjustice,blm,38
helping,blm,38
shocking,blm,38
date,blm,38
five,blm,38
none,blm,38
actual,blm,38
attacks,blm,38
internet,blm,38
hamas,blm,38
paper,blm,38
existence,blm,37
cover,blm,37
planned,blm,37
press,blm,37
soros,blm,37
dreamers,blm,37
ridiculous,blm,37
rules,blm,37
push,blm,37
thursday,blm,37
“,blm,37
pretend,blm,37
throwing,blm,37
comments,blm,37
4th,blm,37
minority,blm,37
mlb,blm,37
exposed,blm,37
serious,blm,37
folk,blm,37
decals,blm,37
factory,blm,37
cheesecake,blm,37
pregnant,blm,37
personal,blm,37
charm,blm,37
murdering,blm,37
queer,blm,37
customer,blm,37
rate,blm,37
workers,blm,36
immigrant,blm,36
ran,blm,36
ude02,blm,36
create,blm,36
easy,blm,36
oklahoma,blm,36
starwarsfan,blm,36
yanny,blm,36
lmao,blm,36
zero,blm,36
general,blm,36
punched,blm,36
gotta,blm,36
eric,blm,36
aren’t,blm,36
prejudice,blm,36
trending,blm,36
harassing,blm,36
population,blm,36
low,blm,36
reasons,blm,36
blackness,blm,36
pets,blm,36
books,blm,36
voteblue,blm,36
pour,blm,36
female,blm,36
screenprinting,blm,36
charlottesville,blm,36
nazis,blm,36
spoke,blm,36
account,blm,36
whileblack,blm,36
husband,blm,36
noh8,blm,36
writing,blm,36
deputy,blm,36
bds,blm,36
knee,blm,36
berkeley,blm,35
i’ll,blm,35
muslims,blm,35
possibly,blm,35
forward,blm,35
however,blm,35
revolution,blm,35
uddfauddf8,blm,35
bbc,blm,35
brothers,blm,35
stage,blm,35
weapon,blm,35
patriotsfight,blm,35
loveislove,blm,35
send,blm,35
committed,blm,35
mandela,blm,35
negros,blm,35
jury,blm,35
deadly,blm,35
special,blm,35
sheriff,blm,35
anonymous,blm,35
bernie2020,blm,35
lakemerritt,blm,35
earthquake,blm,35
pjnet,blm,35
canada,blm,35
promoting,blm,35
blackwomensmarch,blm,35
total,blm,35
nearly,blm,35
prove,blm,35
town,blm,35
sossafeonscene,blm,35
knows,blm,35
worst,blm,35
author,blm,35
discussion,blm,35
joke,blm,35
bible,blm,35
millions,blm,35
threatened,blm,35
diversitymatters,blm,35
21,blm,35
diverse,blm,34
offended,blm,34
justice4jeff,blm,34
sisters,blm,34
ball,blm,34
protestors,blm,34
broken,blm,34
decided,blm,34
bla,blm,34
ashamed,blm,34
mother’s,blm,34
tbt,blm,34
religion,blm,34
boys,blm,34
alert,blm,34
camp,blm,34
caused,blm,34
elected,blm,34
jim,blm,34
genocide,blm,34
spent,blm,34
mt,blm,34
policemen,blm,34
starting,blm,34
bl,blm,34
24,blm,34
chance,blm,34
harris,blm,34
definitely,blm,34
harass,blm,34
politicians,blm,34
warning,blm,33
officials,blm,33
bigots,blm,33
devontehart,blm,33
peaceful,blm,33
uniteforcivilrights,blm,33
0,blm,33
q,blm,33
abaday,blm,33
crow,blm,33
company,blm,33
hours,blm,33
carry,blm,33
ice,blm,33
road,blm,33
perfect,blm,33
choose,blm,33
7pm,blm,33
patersonraised,blm,33
gentrification,blm,33
deep,blm,33
killer,blm,33
